AppTime,WallTime,Throughput
3.64,3612,435
3.70,3670,428
3.80,3773,417
3.71,3682,427
3.72,3689,426
3.68,3652,430
3.64,3614,435
3.70,3675,428
3.63,3604,436
3.77,3736,421
3.63,3595,437
3.78,3750,419
3.71,3680,427
3.65,3619,434
3.72,3694,426
3.65,3623,434
3.70,3673,428
3.66,3633,433
3.65,3617,435
3.74,3709,424
3.64,3612,435
3.70,3670,428
3.80,3773,417
3.71,3682,427
3.72,3689,426
3.68,3652,430
3.64,3614,435
3.70,3675,428
3.63,3604,436
3.77,3736,421
3.63,3595,437
3.78,3750,419
3.71,3680,427
3.65,3619,434
3.72,3694,426
3.65,3623,434
3.70,3673,428
3.66,3633,433
3.65,3617,435
3.74,3709,424
3.72,3694,426
3.65,3623,434
3.70,3673,428
3.66,3633,433
3.65,3617,435
3.74,3709,424
3.64,3612,435
3.70,3670,428
3.80,3773,417
3.71,3682,427
