"Time","Fetch"
2021-12-01 13:38:20,0 B
2021-12-01 13:38:40,0 B
2021-12-01 13:39:00,0 B
2021-12-01 13:39:20,0 B
2021-12-01 13:39:40,0 B
2021-12-01 13:40:00,0 B
2021-12-01 13:40:20,0 B
2021-12-01 13:40:40,0 B
2021-12-01 13:41:00,0 B
2021-12-01 13:41:20,0 B
2021-12-01 13:41:40,0 B
2021-12-01 13:42:00,0 B
2021-12-01 13:42:20,0 B
2021-12-01 13:42:40,0 B
2021-12-01 13:43:00,0 B
2021-12-01 13:43:20,0 B
2021-12-01 13:43:40,0 B
2021-12-01 13:44:00,0 B
2021-12-01 13:44:20,0 B
2021-12-01 13:44:40,0 B
2021-12-01 13:45:00,0 B
2021-12-01 13:45:20,0 B
2021-12-01 13:45:40,0 B
2021-12-01 13:46:00,0 B
2021-12-01 13:46:20,489 MB
2021-12-01 13:46:40,2.50 GB
2021-12-01 13:47:00,3.77 GB
2021-12-01 13:47:20,3.91 GB
2021-12-01 13:47:40,4.05 GB
2021-12-01 13:48:00,4.23 GB
2021-12-01 13:48:20,3.93 GB
2021-12-01 13:48:40,3.67 GB
2021-12-01 13:49:00,3.88 GB
2021-12-01 13:49:20,3.81 GB
2021-12-01 13:49:40,4.08 GB
2021-12-01 13:50:00,4.36 GB
2021-12-01 13:50:20,4.18 GB
2021-12-01 13:50:40,4.18 GB
2021-12-01 13:51:00,4.23 GB
2021-12-01 13:51:20,4.25 GB
2021-12-01 13:51:40,4.38 GB
2021-12-01 13:52:00,4.18 GB
2021-12-01 13:52:20,4.09 GB
2021-12-01 13:52:40,4.24 GB
2021-12-01 13:53:00,4.20 GB
2021-12-01 13:53:20,4.28 GB
2021-12-01 13:53:40,4.22 GB
2021-12-01 13:54:00,4.14 GB
2021-12-01 13:54:20,4.20 GB
2021-12-01 13:54:40,4.06 GB
2021-12-01 13:55:00,4.12 GB
2021-12-01 13:55:20,4.39 GB
2021-12-01 13:55:40,4.18 GB
2021-12-01 13:56:00,4.14 GB
2021-12-01 13:56:20,4.23 GB
2021-12-01 13:56:40,4.22 GB
