"Time","Fetch"
2021-11-30 17:16:30,0 B
2021-11-30 17:17:00,0 B
2021-11-30 17:17:30,0 B
2021-11-30 17:18:00,0 B
2021-11-30 17:18:30,0 B
2021-11-30 17:19:00,0 B
2021-11-30 17:19:30,0 B
2021-11-30 17:20:00,0 B
2021-11-30 17:20:30,0 B
2021-11-30 17:21:00,0 B
2021-11-30 17:21:30,0 B
2021-11-30 17:22:00,0 B
2021-11-30 17:22:30,0 B
2021-11-30 17:23:00,0 B
2021-11-30 17:23:30,0 B
2021-11-30 17:24:00,0 B
2021-11-30 17:24:30,588 MB
2021-11-30 17:25:00,5.20 GB
2021-11-30 17:25:30,7.67 GB
2021-11-30 17:26:00,8.16 GB
2021-11-30 17:26:30,8.06 GB
2021-11-30 17:27:00,7.79 GB
2021-11-30 17:27:30,7.42 GB
2021-11-30 17:28:00,7.56 GB
2021-11-30 17:28:30,8.16 GB
2021-11-30 17:29:00,8.18 GB
2021-11-30 17:29:30,8.22 GB
2021-11-30 17:30:00,8.27 GB
2021-11-30 17:30:30,8.26 GB
2021-11-30 17:31:00,8.22 GB
2021-11-30 17:31:30,8.20 GB
2021-11-30 17:32:00,8.13 GB
2021-11-30 17:32:30,7.90 GB
2021-11-30 17:33:00,7.99 GB
2021-11-30 17:33:30,7.88 GB
2021-11-30 17:34:00,6.26 GB
2021-11-30 17:34:30,862 MB
2021-11-30 17:35:00,0 B
2021-11-30 17:35:30,0 B
2021-11-30 17:36:00,0 B
2021-11-30 17:36:30,0 B
2021-11-30 17:37:00,0 B
2021-11-30 17:37:30,0 B
2021-11-30 17:38:00,0 B
2021-11-30 17:38:30,0 B
2021-11-30 17:39:00,0 B
2021-11-30 17:39:30,0 B
2021-11-30 17:40:00,0 B
2021-11-30 17:40:30,0 B
2021-11-30 17:41:00,0 B
2021-11-30 17:41:30,0 B
2021-11-30 17:42:00,0 B
2021-11-30 17:42:30,0 B
2021-11-30 17:43:00,0 B
2021-11-30 17:43:30,0 B
2021-11-30 17:44:00,0 B
2021-11-30 17:44:30,0 B
2021-11-30 17:45:00,0 B
2021-11-30 17:45:30,0 B
2021-11-30 17:46:00,0 B
2021-11-30 17:46:30,0 B
2021-11-30 17:47:00,0 B
2021-11-30 17:47:30,0 B
2021-11-30 17:48:00,0 B
2021-11-30 17:48:30,0 B
2021-11-30 17:49:00,0 B
2021-11-30 17:49:30,0 B
2021-11-30 17:50:00,0 B
2021-11-30 17:50:30,0 B
2021-11-30 17:51:00,0 B
2021-11-30 17:51:30,0 B
2021-11-30 17:52:00,0 B
2021-11-30 17:52:30,0 B
2021-11-30 17:53:00,0 B
2021-11-30 17:53:30,0 B
2021-11-30 17:54:00,0 B
2021-11-30 17:54:30,0 B
2021-11-30 17:55:00,0 B
2021-11-30 17:55:30,0 B
2021-11-30 17:56:00,0 B
2021-11-30 17:56:30,0 B
2021-11-30 17:57:00,0 B
2021-11-30 17:57:30,0 B
2021-11-30 17:58:00,0 B
2021-11-30 17:58:30,0 B
2021-11-30 17:59:00,0 B
2021-11-30 17:59:30,0 B
2021-11-30 18:00:00,0 B
2021-11-30 18:00:30,0 B
2021-11-30 18:01:00,0 B
2021-11-30 18:01:30,0 B
2021-11-30 18:02:00,0 B
2021-11-30 18:02:30,0 B
2021-11-30 18:03:00,0 B
2021-11-30 18:03:30,0 B
2021-11-30 18:04:00,0 B
2021-11-30 18:04:30,0 B
2021-11-30 18:05:00,0 B
2021-11-30 18:05:30,0 B
2021-11-30 18:06:00,0 B
2021-11-30 18:06:30,0 B
2021-11-30 18:07:00,0 B
2021-11-30 18:07:30,0 B
2021-11-30 18:08:00,0 B
2021-11-30 18:08:30,0 B
2021-11-30 18:09:00,0 B
2021-11-30 18:09:30,0 B
2021-11-30 18:10:00,0 B
2021-11-30 18:10:30,0 B
2021-11-30 18:11:00,0 B
2021-11-30 18:11:30,0 B
2021-11-30 18:12:00,0 B
2021-11-30 18:12:30,0 B
2021-11-30 18:13:00,0 B
2021-11-30 18:13:30,0 B
2021-11-30 18:14:00,0 B
2021-11-30 18:14:30,0 B
2021-11-30 18:15:00,0 B
2021-11-30 18:15:30,0 B
2021-11-30 18:16:00,0 B
2021-11-30 18:16:30,2.67 GB
2021-11-30 18:17:00,6.59 GB
2021-11-30 18:17:30,6.99 GB
2021-11-30 18:18:00,7.02 GB
2021-11-30 18:18:30,7.16 GB
2021-11-30 18:19:00,7.28 GB
2021-11-30 18:19:30,7.10 GB
2021-11-30 18:20:00,6.92 GB
2021-11-30 18:20:30,7.19 GB
2021-11-30 18:21:00,7.17 GB
2021-11-30 18:21:30,7.19 GB
2021-11-30 18:22:00,7.12 GB
2021-11-30 18:22:30,7.16 GB
2021-11-30 18:23:00,7.29 GB
2021-11-30 18:23:30,7.23 GB
2021-11-30 18:24:00,7.37 GB
2021-11-30 18:24:30,7.46 GB
2021-11-30 18:25:00,7.26 GB
2021-11-30 18:25:30,7.13 GB
2021-11-30 18:26:00,7.36 GB
2021-11-30 18:26:30,7.31 GB
2021-11-30 18:27:00,2.81 GB
2021-11-30 18:27:30,0 B
2021-11-30 18:28:00,0 B
2021-11-30 18:28:30,0 B
2021-11-30 18:29:00,0 B
2021-11-30 18:29:30,0 B
2021-11-30 18:30:00,0 B
2021-11-30 18:30:30,0 B
2021-11-30 18:31:00,0 B
2021-11-30 18:31:30,0 B
2021-11-30 18:32:00,0 B
2021-11-30 18:32:30,0 B
2021-11-30 18:33:00,0 B
2021-11-30 18:33:30,0 B
2021-11-30 18:34:00,0 B
2021-11-30 18:34:30,0 B
2021-11-30 18:35:00,0 B
2021-11-30 18:35:30,0 B
2021-11-30 18:36:00,0 B
2021-11-30 18:36:30,0 B
2021-11-30 18:37:00,0 B
2021-11-30 18:37:30,0 B
2021-11-30 18:38:00,0 B
2021-11-30 18:38:30,0 B
2021-11-30 18:39:00,0 B
2021-11-30 18:39:30,0 B
2021-11-30 18:40:00,0 B
2021-11-30 18:40:30,0 B
2021-11-30 18:41:00,0 B
2021-11-30 18:41:30,0 B
2021-11-30 18:42:00,0 B
2021-11-30 18:42:30,0 B
2021-11-30 18:43:00,0 B
2021-11-30 18:43:30,0 B
2021-11-30 18:44:00,0 B
2021-11-30 18:44:30,0 B
2021-11-30 18:45:00,0 B
2021-11-30 18:45:30,0 B
2021-11-30 18:46:00,0 B
2021-11-30 18:46:30,0 B
2021-11-30 18:47:00,0 B
2021-11-30 18:47:30,0 B
2021-11-30 18:48:00,0 B
2021-11-30 18:48:30,0 B
2021-11-30 18:49:00,0 B
2021-11-30 18:49:30,0 B
2021-11-30 18:50:00,0 B
2021-11-30 18:50:30,0 B
2021-11-30 18:51:00,0 B
2021-11-30 18:51:30,0 B
2021-11-30 18:52:00,0 B
2021-11-30 18:52:30,0 B
2021-11-30 18:53:00,0 B
2021-11-30 18:53:30,0 B
2021-11-30 18:54:00,0 B
2021-11-30 18:54:30,0 B
2021-11-30 18:55:00,0 B
2021-11-30 18:55:30,0 B
2021-11-30 18:56:00,0 B
2021-11-30 18:56:30,0 B
2021-11-30 18:57:00,0 B
2021-11-30 18:57:30,0 B
2021-11-30 18:58:00,0 B
2021-11-30 18:58:30,0 B
2021-11-30 18:59:00,0 B
2021-11-30 18:59:30,0 B
2021-11-30 19:00:00,0 B
2021-11-30 19:00:30,0 B
2021-11-30 19:01:00,0 B
2021-11-30 19:01:30,0 B
2021-11-30 19:02:00,0 B
2021-11-30 19:02:30,0 B
2021-11-30 19:03:00,0 B
2021-11-30 19:03:30,0 B
2021-11-30 19:04:00,0 B
2021-11-30 19:04:30,0 B
2021-11-30 19:05:00,0 B
2021-11-30 19:05:30,0 B
2021-11-30 19:06:00,0 B
2021-11-30 19:06:30,0 B
2021-11-30 19:07:00,0 B
2021-11-30 19:07:30,0 B
2021-11-30 19:08:00,0 B
2021-11-30 19:08:30,0 B
2021-11-30 19:09:00,0 B
2021-11-30 19:09:30,0 B
2021-11-30 19:10:00,0 B
2021-11-30 19:10:30,20.6 MB
2021-11-30 19:11:00,3.59 GB
2021-11-30 19:11:30,5.99 GB
2021-11-30 19:12:00,6.16 GB
2021-11-30 19:12:30,6.01 GB
2021-11-30 19:13:00,6.17 GB
2021-11-30 19:13:30,6.22 GB
2021-11-30 19:14:00,6.41 GB
2021-11-30 19:14:30,6.41 GB
2021-11-30 19:15:00,6.11 GB
2021-11-30 19:15:30,6.12 GB
2021-11-30 19:16:00,5.99 GB
2021-11-30 19:16:30,6.30 GB
2021-11-30 19:17:00,6.48 GB
2021-11-30 19:17:30,6.25 GB
2021-11-30 19:18:00,6.21 GB
2021-11-30 19:18:30,5.91 GB
2021-11-30 19:19:00,6.06 GB
2021-11-30 19:19:30,6.61 GB
2021-11-30 19:20:00,6.11 GB
2021-11-30 19:20:30,6.24 GB
2021-11-30 19:21:00,5.95 GB
2021-11-30 19:21:30,6.22 GB
2021-11-30 19:22:00,6.49 GB
2021-11-30 19:22:30,6.51 GB
2021-11-30 19:23:00,3.67 GB
2021-11-30 19:23:30,0 B
2021-11-30 19:24:00,0 B
2021-11-30 19:24:30,0 B
2021-11-30 19:25:00,0 B
2021-11-30 19:25:30,0 B
2021-11-30 19:26:00,0 B
2021-11-30 19:26:30,0 B
2021-11-30 19:27:00,0 B
2021-11-30 19:27:30,0 B
2021-11-30 19:28:00,0 B
2021-11-30 19:28:30,0 B
2021-11-30 19:29:00,0 B
2021-11-30 19:29:30,0 B
2021-11-30 19:30:00,0 B
2021-11-30 19:30:30,0 B
2021-11-30 19:31:00,0 B
2021-11-30 19:31:30,0 B
2021-11-30 19:32:00,0 B
2021-11-30 19:32:30,0 B
2021-11-30 19:33:00,0 B
2021-11-30 19:33:30,0 B
2021-11-30 19:34:00,0 B
2021-11-30 19:34:30,0 B
2021-11-30 19:35:00,0 B
2021-11-30 19:35:30,0 B
2021-11-30 19:36:00,0 B
2021-11-30 19:36:30,0 B
2021-11-30 19:37:00,0 B
2021-11-30 19:37:30,0 B
2021-11-30 19:38:00,0 B
2021-11-30 19:38:30,0 B
2021-11-30 19:39:00,0 B
2021-11-30 19:39:30,0 B
2021-11-30 19:40:00,0 B
2021-11-30 19:40:30,0 B
2021-11-30 19:41:00,0 B
2021-11-30 19:41:30,0 B
2021-11-30 19:42:00,0 B
2021-11-30 19:42:30,0 B
2021-11-30 19:43:00,0 B
2021-11-30 19:43:30,0 B
2021-11-30 19:44:00,0 B
2021-11-30 19:44:30,0 B
2021-11-30 19:45:00,0 B
2021-11-30 19:45:30,0 B
2021-11-30 19:46:00,0 B
2021-11-30 19:46:30,0 B
2021-11-30 19:47:00,0 B
2021-11-30 19:47:30,0 B
2021-11-30 19:48:00,0 B
2021-11-30 19:48:30,0 B
2021-11-30 19:49:00,0 B
2021-11-30 19:49:30,0 B
2021-11-30 19:50:00,0 B
2021-11-30 19:50:30,0 B
2021-11-30 19:51:00,0 B
2021-11-30 19:51:30,0 B
2021-11-30 19:52:00,0 B
2021-11-30 19:52:30,0 B
2021-11-30 19:53:00,0 B
2021-11-30 19:53:30,0 B
2021-11-30 19:54:00,0 B
2021-11-30 19:54:30,0 B
2021-11-30 19:55:00,0 B
2021-11-30 19:55:30,0 B
2021-11-30 19:56:00,0 B
2021-11-30 19:56:30,0 B
2021-11-30 19:57:00,0 B
2021-11-30 19:57:30,0 B
2021-11-30 19:58:00,0 B
2021-11-30 19:58:30,0 B
2021-11-30 19:59:00,0 B
2021-11-30 19:59:30,0 B
2021-11-30 20:00:00,0 B
2021-11-30 20:00:30,0 B
2021-11-30 20:01:00,0 B
2021-11-30 20:01:30,0 B
2021-11-30 20:02:00,0 B
2021-11-30 20:02:30,0 B
2021-11-30 20:03:00,0 B
2021-11-30 20:03:30,0 B
2021-11-30 20:04:00,0 B
2021-11-30 20:04:30,0 B
2021-11-30 20:05:00,0 B
2021-11-30 20:05:30,0 B
2021-11-30 20:06:00,0 B
2021-11-30 20:06:30,0 B
2021-11-30 20:07:00,947 MB
2021-11-30 20:07:30,4.36 GB
2021-11-30 20:08:00,4.93 GB
2021-11-30 20:08:30,5.16 GB
2021-11-30 20:09:00,4.96 GB
2021-11-30 20:09:30,4.76 GB
2021-11-30 20:10:00,5.36 GB
2021-11-30 20:10:30,5.22 GB
2021-11-30 20:11:00,5.30 GB
2021-11-30 20:11:30,5.49 GB
2021-11-30 20:12:00,5.27 GB
2021-11-30 20:12:30,5.44 GB
2021-11-30 20:13:00,5.31 GB
2021-11-30 20:13:30,5.04 GB
2021-11-30 20:14:00,5.15 GB
2021-11-30 20:14:30,5.37 GB
2021-11-30 20:15:00,5.38 GB
2021-11-30 20:15:30,5.36 GB
2021-11-30 20:16:00,5.33 GB
2021-11-30 20:16:30,5.31 GB
2021-11-30 20:17:00,5.37 GB
2021-11-30 20:17:30,5.30 GB
2021-11-30 20:18:00,5.39 GB
2021-11-30 20:18:30,4.82 GB
2021-11-30 20:19:00,4.56 GB
2021-11-30 20:19:30,4.96 GB
2021-11-30 20:20:00,5.20 GB
2021-11-30 20:20:30,5.22 GB
2021-11-30 20:21:00,5.04 GB
2021-11-30 20:21:30,4.71 GB
2021-11-30 20:22:00,860 MB
2021-11-30 20:22:30,0 B
2021-11-30 20:23:00,0 B
2021-11-30 20:23:30,0 B
2021-11-30 20:24:00,0 B
2021-11-30 20:24:30,0 B
2021-11-30 20:25:00,0 B
2021-11-30 20:25:30,0 B
2021-11-30 20:26:00,0 B
2021-11-30 20:26:30,0 B
2021-11-30 20:27:00,0 B
2021-11-30 20:27:30,0 B
2021-11-30 20:28:00,0 B
2021-11-30 20:28:30,0 B
2021-11-30 20:29:00,0 B
2021-11-30 20:29:30,0 B
2021-11-30 20:30:00,0 B
2021-11-30 20:30:30,0 B
2021-11-30 20:31:00,0 B
2021-11-30 20:31:30,0 B
2021-11-30 20:32:00,0 B
2021-11-30 20:32:30,0 B
2021-11-30 20:33:00,0 B
2021-11-30 20:33:30,0 B
2021-11-30 20:34:00,0 B
2021-11-30 20:34:30,0 B
2021-11-30 20:35:00,0 B
2021-11-30 20:35:30,0 B
2021-11-30 20:36:00,0 B
2021-11-30 20:36:30,0 B
2021-11-30 20:37:00,0 B
2021-11-30 20:37:30,0 B
2021-11-30 20:38:00,0 B
2021-11-30 20:38:30,0 B
2021-11-30 20:39:00,0 B
2021-11-30 20:39:30,0 B
2021-11-30 20:40:00,0 B
2021-11-30 20:40:30,0 B
2021-11-30 20:41:00,0 B
2021-11-30 20:41:30,0 B
2021-11-30 20:42:00,0 B
2021-11-30 20:42:30,0 B
2021-11-30 20:43:00,0 B
2021-11-30 20:43:30,0 B
2021-11-30 20:44:00,0 B
2021-11-30 20:44:30,0 B
2021-11-30 20:45:00,0 B
2021-11-30 20:45:30,0 B
2021-11-30 20:46:00,0 B
2021-11-30 20:46:30,0 B
2021-11-30 20:47:00,0 B
2021-11-30 20:47:30,0 B
2021-11-30 20:48:00,0 B
2021-11-30 20:48:30,0 B
2021-11-30 20:49:00,0 B
2021-11-30 20:49:30,0 B
2021-11-30 20:50:00,0 B
2021-11-30 20:50:30,0 B
2021-11-30 20:51:00,0 B
2021-11-30 20:51:30,0 B
2021-11-30 20:52:00,0 B
2021-11-30 20:52:30,0 B
2021-11-30 20:53:00,0 B
2021-11-30 20:53:30,0 B
2021-11-30 20:54:00,0 B
